Epochs,Train Accuracy,Test Accuracy
0,1.67,1.57
1,3.368,3.76
2,4.932,4.97
3,7.594,8.63
4,11.232,10.94
5,15.384,10.42
6,19.958,19.19
7,24.816,24.87
8,28.644,26.8
9,32.754,25.89
10,36.612,30.24
11,40.752,32.69
12,44.754,29.85
13,48.47,35.78
14,52.376,38.39
15,55.914,36.54
16,59.464,39.94
17,63.184,37.99
18,66.342,39.85
19,69.744,42.05
20,72.104,41.12
21,75.192,41.09
22,77.592,42.11
23,79.974,41.95
24,81.988,44.22
25,83.524,42.27
26,85.584,43.07
27,86.726,42.28
28,87.27,43.08
29,89.208,42.65
30,89.57,42.95
31,90.302,42.65
32,90.982,43.55
33,92.046,44.27
34,92.056,44.98
35,92.232,45.45
36,92.996,43.93
37,93.462,45.14
38,94.118,45.46
39,93.626,45.09
40,93.702,45.75
41,94.57,44.21
42,94.424,45.44
43,94.856,45.82
44,94.69,44.38
45,94.654,44.82
46,95.034,45.35
47,95.722,43.44
48,94.832,45.79
49,95.666,46.08
50,95.694,44.51
51,95.504,46.08
52,95.454,45.86
53,95.632,46.38
54,96.106,46.97
55,95.796,45.6
56,96.338,47.11
57,96.52,46.03
58,95.84,46.03
59,96.438,45.83
60,96.356,45.61
61,96.366,44.41
62,96.46,46.39
63,97.068,46.81
64,96.424,45.64
65,96.44,46.07
66,96.488,45.83
67,97.016,46.93
68,97.314,47.77
69,96.866,46.62
70,97.148,47.66
71,96.81,47
72,96.962,46.81
73,97.168,48.06
74,96.606,47.32
75,97.534,45.84
76,97.132,47.27
77,97.112,48.05
78,97.494,46.78
79,97.328,47.9
80,96.85,47
81,97.626,48.12
82,97.256,48.27
83,97.284,47.74
84,97.482,47.29
85,97.284,46.51
86,97.662,46.87
87,97.49,47.44
88,97.33,46.98
89,97.898,48.1
90,97.708,46.39
91,97.636,47.17
92,97.36,47.59
93,97.634,46.47
94,98.106,47.53
95,98,48.29
96,98.046,46.92
97,97.426,46.78
98,97.942,46.55
99,97.708,48.07
100,99.304,50.12
101,99.884,50.33
102,99.932,50.61
103,99.958,50.37
104,99.954,50.77
105,99.96,50.79
106,99.966,50.84
107,99.966,50.84
108,99.96,50.82
109,99.95,50.79
110,99.972,50.74
111,99.962,50.69
112,99.958,50.67
113,99.968,50.59
114,99.966,50.63
115,99.962,51
116,99.966,50.74
117,99.972,51.18
118,99.956,50.6
119,99.966,50.55
120,99.952,50.56
121,99.958,50.5
122,99.954,50.95
123,99.954,50.74
124,99.946,50.73
125,99.968,50.59
126,99.95,50.54
127,99.922,50.57
128,99.956,50.69
129,99.962,50.91
130,99.966,50.84
131,99.97,50.87
132,99.972,50.89
133,99.97,51.19
134,99.976,50.8
135,99.962,51.01
136,99.972,51.01
137,99.962,50.92
138,99.952,50.95
139,99.944,51.18
140,99.934,51.13
141,99.908,50.48
142,99.948,50.63
143,99.96,51.02
144,99.972,51.16
145,99.968,50.96
146,99.956,50.47
147,99.96,50.86
148,99.964,50.97
149,99.954,51.1
150,99.966,50.99
151,99.932,51.29
152,99.946,50.89
153,99.952,50.66
154,99.972,50.55
155,99.962,50.62
156,99.978,50.94
157,99.974,50.87
158,99.968,50.97
159,99.956,50.59
160,99.948,50.55
161,99.944,50.52
162,99.964,50.84
163,99.956,50.62
164,99.964,50.63
165,99.972,50.56
166,99.974,50.63
167,99.974,50.29
168,99.976,50.81
169,99.972,50.98
170,99.968,50.67
171,99.932,50.27
172,99.9,50.01
173,99.942,50.41
174,99.946,50.83
175,99.944,50.68
176,99.958,50.59
177,99.954,50.45
178,99.94,50.33
179,99.95,50.38
180,99.954,50.22
181,99.96,50.3
182,99.968,50.51
183,99.968,50.28
184,99.932,50.31
185,99.95,50.26
186,99.97,50.36
187,99.964,50.35
188,99.958,50.26
189,99.958,50.68
190,99.964,50.57
191,99.97,50.75
192,99.978,50.82
193,99.978,50.86
194,99.974,50.98
195,99.946,50.71
196,99.916,50.53
197,99.958,50.93
198,99.952,50.69
199,99.962,50.74
200,99.964,50.95
