Epochs,Test Accuracy,Train Accuracy
0,2.44,1.42
1,2.87,2.282
2,3.44,2.758
3,3.63,2.946
4,4.02,3.202
5,5.49,3.94
6,7.94,4.954
7,8.2,6.24
8,9.32,7.476
9,12.17,9.27
10,12.89,10.732000000000001
11,16.33,11.61
12,15.49,13.095999999999998
13,18.8,14.484000000000002
14,19.37,16.018
15,20.07,17.656
16,24.79,19.08
17,26.37,20.87
18,29.19,22.49
19,28.52,24.3
20,30.6,25.944000000000003
21,29.56,27.956
22,31.92,29.46
23,33.2,31.19
24,33.72,33.25
25,35.14,34.554
26,34.82,36.51
27,37.42,37.734
28,36.47,39.412
29,37.28,40.896
30,38.97,42.181999999999995
31,38.96,44.044
32,39.72,45.368
33,37.8,46.652
34,39.5,48.312
35,40.69,49.562
36,39.26,50.501999999999995
37,39.41,51.733999999999995
38,39.19,53.464
39,43.12,53.833999999999996
40,43.13,55.424
41,40.9,56.802
42,42.4,57.523999999999994
43,42.1,58.641999999999996
44,42.45,59.696000000000005
45,43.26,60.356
46,42.25,61.593999999999994
47,44.24,61.898
48,42.87,62.75
49,44.75,63.848
50,47.12,69.952
51,47.64,73.488
52,47.91,75.06
53,48.33,76.382
54,48.08,77.93
55,48.27,78.668
56,48.18,79.672
57,48.32,80.328
58,48.69,81.016
59,48.14,81.72
60,48.33,82.024
61,48.63,82.302
62,48.28,83.14399999999999
63,48.38,83.932
64,48.61,84.21799999999999
65,48.4,84.546
66,48.14,84.788
67,48.3,85.2
68,48.11,85.522
69,48.34,86.052
70,48.67,86.206
71,48.75,86.78200000000001
72,48.27,87.162
73,48.35,87.206
74,48.23,87.51799999999999
75,48.32,87.63600000000001
76,48.59,88.07
77,48.38,88.31
78,48.29,88.318
79,48.24,88.86200000000001
80,48.49,88.98200000000001
81,48.37,89.36399999999999
82,48.42,89.44200000000001
83,48.23,89.546
84,48.74,89.86
85,48.66,90.314
86,48.22,90.234
87,48.38,90.538
88,48.69,90.836
89,48.79,90.914
90,48.87,90.988
91,48.64,91.23200000000001
92,48.63,91.352
93,48.76,91.31
94,48.44,91.848
95,48.58,91.884
96,48.83,92.054
97,48.35,92.318
98,48.4,92.264
99,48.51,92.76799999999999
100,48.65,92.834
101,48.42,93.1
102,48.85,93.29
103,48.73,93.32
104,48.83,93.382
105,48.55,93.434
106,48.33,93.46799999999999
107,48.68,93.648
108,49.16,93.64399999999999
109,48.54,93.65
110,48.31,93.462
111,48.62,93.85
112,48.8,93.69
113,48.62,93.898
114,49.06,93.596
115,48.49,93.756
116,48.62,93.788
117,48.74,93.97
118,48.79,93.93
119,48.5,94.01
120,48.59,93.844
121,48.71,94.03
122,48.88,94.07799999999999
123,48.43,94.10600000000001
124,48.51,93.82
125,48.6,94.234
126,48.88,94.13600000000001
127,48.65,93.99799999999999
128,48.77,94.266
129,48.56,94.178
130,48.87,94.35600000000001
131,48.59,94.072
132,48.64,94.39
133,48.53,94.554
134,48.99,94.44200000000001
135,48.69,94.39200000000001
136,48.71,94.39399999999999
137,48.77,94.25
138,48.4,94.43
139,48.78,94.598
140,48.81,94.39200000000001
141,48.96,94.536
142,48.53,94.586
143,48.83,94.426
144,48.84,94.47399999999999
145,48.91,94.56
146,48.59,94.51799999999999
147,48.68,94.63600000000001
148,48.84,94.51799999999999
149,48.64,94.666
150,48.89,94.594
151,48.71,94.6
152,48.73,94.626
153,48.6,94.376
154,48.98,94.79799999999999
155,48.61,94.794
156,48.58,94.646
157,48.58,94.61399999999999
158,48.87,94.59
159,48.64,94.63799999999999
160,48.88,94.74600000000001
161,48.77,94.816
162,48.77,94.68799999999999
163,49.0,94.60799999999999
164,48.45,94.77799999999999
165,48.52,94.838
166,48.72,94.738
167,48.6,94.552
168,48.67,94.72
169,48.72,94.62799999999999
170,48.73,94.64399999999999
171,48.67,94.79799999999999
172,48.6,94.71799999999999
173,48.72,94.734
174,48.66,94.71600000000001
175,48.68,94.70200000000001
176,49.03,94.676
177,48.43,94.876
178,48.66,94.704
179,48.7,94.714
180,48.61,94.538
181,48.77,94.81200000000001
182,48.76,94.7
183,48.87,94.568
184,48.75,94.616
185,48.66,94.738
186,48.86,94.786
187,48.65,94.85
188,48.56,94.89399999999999
189,48.3,94.78399999999999
190,48.38,94.61200000000001
191,48.7,94.704
192,48.64,94.994
193,48.79,94.79
194,48.68,94.698
195,48.84,94.81
196,48.69,94.77799999999999
197,49.18,94.738
198,48.95,94.912
199,48.92,94.76799999999999
